hid,title,type,rating,origination,read,last_read,synonyms,mal,anilist,mangaupdates
lHqNbLdM,Standard of Reincarnation,Reading,0,Manhwa,184,2026-06-09,"환생의 정석,Реинкарнация по плану,轉世定律,転生の定石,Hwansaengui Jeongseok,جوهر التناسخ,Estándar de la Reencarnación,Les Défis de la réincarnation,The Art of Reincarnation,The Essence of Reincarnation",https://myanimelist.net/manga/150549,https://anilist.co/manga/153880,https://www.mangaupdates.com/series/egniw80
7NqCObsf,The Lone Necromancer,Reading,0,Manhwa,221,2026-05-26,"ソロ降霊術,Only I Am a Necromancer,나 혼자 네크로맨서,Jedyny Nekromanta,Некромант-одиночка,死灵法师：亡灵支配者,Solo Necromancy,The Only Necromancer,末日獨尊：死靈法師,O Único Necromante,The Lone Necromancer,Nigromante en Solitario,Na Honja Nekeuromaenso",https://myanimelist.net/manga/147450,https://anilist.co/manga/139572,https://www.mangaupdates.com/series/fcio7ve
rwq0tOTa,Level 1 Player,Reading,0,Manhwa,143,2026-06-11,"1레벨 플레이어,Игрок 1-го уровня,Lv1プレイヤー,1 Seviye Oyuncu,1等级玩家,Forever Level One,Player Level 1,一等玩家",https://myanimelist.net/manga/149138,https://anilist.co/manga/144126,https://www.mangaupdates.com/series/f0a2o75
F7jgZoXP,Mizu Zokusei no Mahoutsukai,Reading,0,Manga,40,2026-05-23,"水屬性之魔法使,Water Magician,The Water Magician,水属性の魔法使い@COMIC,Water Magician @COMIC,thủy ma đạo sĩ,Mizu Zokusei no Mahou Tsukai,水属性の魔法使い,Mizu Zokusei no Mahoutsukai @COMIC",https://myanimelist.net/manga/164607,https://anilist.co/manga/142704,https://www.mangaupdates.com/series/0yarwf7
Zujbr0TC,Skill Master Levels Up,Reading,0,Manhwa,155,2026-06-13,"2周目プレイヤー、最高難易度を無双してレベルアップ,Levelling Up Through Skills,Skill Masters Level Up,เลเวลอัปด้วยสกิลขั้นเทพ,スキルアローンモードでレベルアップ,獨行技能王,这一世我要当独行玩家,스킬빨로 레벨업,Leveling Up With Skills,Seukilbballo Lebeloep,Ascension Through Skills,Level Up With Skills,Subiendo de nivel con las mejores habilidades,เลเวลอัปด้วยสกิลขั้นเทพ,Skill Masters Level Up,スキルアローンモードでレベルアップ,这一世我要当独行玩家,2周目プレイヤー、最高難易度を無双してレベルアップ,獨行技能王",https://myanimelist.net/manga/159834,https://anilist.co/manga/165689,https://www.mangaupdates.com/series/sk3jlmc
lfgXBNww,Reincarnated Murim Lord,Reading,0,Manhwa,125,2026-06-10,"Reincarnation Heavenly Demon,환생천마,Renascimento do Demônio Celestial,転生天魔,Reincarnation of the Heavenly Demon,Reborn Heavenly Demon,Demonio Celestial de la Reencarnación,Rebirth of the Heavenly Demon,Reincarnated Heavenly Demon,Rebirth, Heavenly Demon,Reborn as the Heavenly Demon,還生天魔,Renacido como el demonio,Líder de la Alianza",https://myanimelist.net/manga/168981,https://anilist.co/manga/176790,https://www.mangaupdates.com/series/neufjtp
V_8hhTSD,I Raided the Demon God's Treasure Trove,Reading,0,Manhwa,50,2025-04-01,"I Raided the Demon God's Treasure Trove,I Robbed the Storehouse of the God,마신의 창고를 털었습니다,I Raided the God's Warehouse",,https://anilist.co/manga/180948,https://www.mangaupdates.com/series/el5tmzg
YUCxlaFU,Disciple of the Holy Sword,Reading,0,Manhwa,144,2025-05-08,"Leveling Up with the Sword,검빨로 레벨업,Overpowered Sword,Поднятие уровня с мечом,Discípulo da Espada Sagrada,Hard Carried by My Sword,Espada OP,L'Élu de l'épée sacrée,Geomppallo Level Up,剣任せでレベルアップ,勇士的聖劍升級路,被圣剑选择的少年",https://myanimelist.net/manga/148456,https://anilist.co/manga/150508,https://www.mangaupdates.com/series/bzzcg1z
Qy66f_CI,Latna Saga: Survival of a Sword King,Reading,0,Manhwa,292,2026-06-12,"이계검왕생존기,拔剑九亿次,이계 검왕 생존기,Isekai Kenou Seizon-ki,Igye Geomwang Saengjongi,การเอาชีวิตรอดของราชาดาบในต่างโลก,異世界剣王生存記,異界劍王生存記,Король меча,История выживания короля меча в фэнтезийном мире,Survival Story of a Sword King in a Fantasy World,Otherworldly Sword King's Survival Records,Latna Saga: Sopravvivenza di un Re della Spada in un Altro Mondo,The Survival Story of the Sword King in Another World,Latna Saga: A Jornada do Rei Espadachim,Survival Story of a Sword King,Las flipantes aventuras del rey de la espada en otro mundo,حماسه رثنا: بقای پادشاه شمشیر,Registros de supervivencia del Rey de la Espada del Otro Mundo,The Survival Record of the Sword King in Another World,A Sword King’s Fantasy World Survival Story,Rey de la espada",https://myanimelist.net/manga/146982,https://anilist.co/manga/114605,https://www.mangaupdates.com/series/pelidfc
DNn1ZXvb,Honzuki no Gekokujou: Shisho ni Naru tame ni wa Shudan o Erandeiraremasen—Dai-2 Bu: Hon no Tamenara Miko ni Naru!,Reading,0,Manga,64.6,2026-03-15,"Ascendance of a Bookworm: I’ll do anything to become a librarian!—Part 2: I’ll even join the temple to read books!,Honzuki no Gekokujou: Shisho ni Naru tame ni wa Shudan o Erandeiraremasen—Daini Bu: Hon no Tamenara Miko ni Naru!,Honzuki no Gekokujou: Part 2,Власть книжного червя: часть вторая,การปฏิวัติของสาวน้อยหนอนหนังสือ ภาค 2,Ascendance of a Bookworm: Part 2,Ascendance of a Bookworm ~I'll do anything to become a librarian!~, Part 2: I'll even join the temple to read books!,Honzuki no Gekokujou Part 2,本好きの下剋上　～司書になるためには手段を選んでいられません～　第二部　「本のためなら巫女になる！」,本好きの下剋上　第二部,La Petite Faiseuse de Livres: Deuxième arc,Honzuki no Gekokujou Part 2,Cuộc nổi dậy của nàng mọt sách ~Để trở thành thủ thư, tôi sẽ làm mọi cách~ Phần 2: Vì sách, tôi trở thành nữ tu!",https://myanimelist.net/manga/122830,https://anilist.co/manga/110804,https://www.mangaupdates.com/series/6x9798p
54Zwh6iY,After Ten Millennia in Hell,Reading,0,Manhwa,154,2026-05-05,"만 년 만에 귀환한 플레이어,Игрок, который вернулся спустя 10 000 лет,Гравець, який повернувся через 10 000 років,Гравець, Який Повернувся Після 10,000 Років,만 년 만 에 귀환 한 플레이어,To Hell and Back,时隔万年回归的玩家,After Ten Millenia in Hell,เพลเยอร์ผู้กลับมาในรอบหมื่นปี,O Jogador Retorna Depois de 10 Mil Anos,O Jogador Retorna Após 10 mil Anos,歷經萬年回歸的玩家,1万年ぶりに帰還したプレイヤー,Aşağı Dünyanın Efendisi,Man Nyeon Man-e Gwihwanhan Player,Jugador que regresó 10.000 años después,After Ten Millennia in Hell,Player Who Returned 10,000 Years Later,Man Nyeon Mane Gwihwanhan Player",https://myanimelist.net/manga/150210,https://anilist.co/manga/153284,https://www.mangaupdates.com/series/biuiwcm
yTGZqTJE,Chowonja Academy ui Sugangsaeng i Doeeotda,Reading,0,Manhwa,170,2025-10-03,"cademia da Transcendência,초월자 학원의 수강생이 되었다,Я стал студентом Трансцендентальной Академии,欢迎加入超越者学院,Chowonja Academy ui Sugangsaeng i Doeeotda,Enrolling in the Transcendent Academy,超越者学院の受講生になった,สถาบันกวดวิชาสำหรับผู้เป็นเลิศ,Academia de la Ascension,Transcension Academy",https://myanimelist.net/manga/153120,https://anilist.co/manga/152608,https://www.mangaupdates.com/series/qu9pvzg
